,,,,,,,
,,,,,,,
,Time,status,note,stop time,run time,total stop time,total run time
,2025/11/15 20:28:23,stop,RCS:RFPS12 MPS発報,0:04:52,0:00:00,,
,2025/11/15 20:33:15,start,,0:00:00,0:09:03,,
,2025/11/15 20:42:18,stop,RCS:RFPS12 MPS発報 ,0:08:08,0:00:00,,
,2025/11/15 20:50:26,start,,0:00:00,0:00:30,,
,2025/11/15 20:50:56,stop,LI:SDTL05 RF MPS発報,0:01:03,0:00:00,,
,2025/11/15 20:51:59,start,,0:00:00,0:31:30,,
,2025/11/15 21:23:29,stop,RCS:RFPS04 MPS発報,0:04:29,0:00:00,,
,2025/11/15 21:27:58,start,,0:00:00,0:15:51,,
,2025/11/15 21:43:49,stop,HD:B-Line BLM MPS発報(MR Inhibit),0:11:59,0:00:00,,
,2025/11/15 21:55:48,start,,0:00:00,0:12:29,,
,2025/11/15 22:08:17,stop,HD:タイミングミス MPS発報(MR Inhibit),0:04:20,0:00:00,,
,2025/11/15 22:12:37,start,,0:00:00,0:23:37,,
,2025/11/15 22:36:14,stop,LI:クライストロン高圧電源5号機ダウン,0:05:38,0:00:00,,
,2025/11/15 22:41:52,start,,0:00:00,0:51:31,,
,2025/11/15 23:33:23,stop,HD:利用運転停止(B-Line電磁石設定変更の為),0:10:44,0:00:00,,
,2025/11/15 23:44:07,start,,0:00:00,7:17:05,,
,2025/11/16 07:01:12,stop,MR:ESS_V_Drop MPS発報(MR Inhibit),0:17:29,0:00:00,,
,2025/11/16 07:18:41,start,,0:00:00,3:11:39,,
,2025/11/16 10:30:20,stop,LI:RFQ trip 発生（MR行）/ HD:MPS発報(MR Inhibit),0:13:25,0:00:00,,
,2025/11/16 10:43:45,start,,0:00:00,2:00:03,,
,2025/11/16 12:43:48,stop,MR:BLM(INT) MPS発報(MR Inhibit) リセット復帰,1:09:41,0:00:00,,
,2025/11/16 13:53:29,start,,0:00:00,5:43:49,,
,2025/11/16 19:37:18,stop,LI:BLM MPS発報 リセット復帰,0:00:58,0:00:00,,
,2025/11/16 19:38:16,start,,0:00:00,1:10:43,,
,2025/11/16 20:48:59,stop,BLM MPS発報 リセット復帰,0:01:47,0:00:00,,
,2025/11/16 20:50:46,start,,0:00:00,6:59:09,,
,2025/11/17 03:49:55,stop,LI:BLM MPS発報 リセット復帰,0:01:03,0:00:00,,
,2025/11/17 03:50:58,start,,0:00:00,0:40:29,,
,2025/11/17 04:31:27,stop,LI:BLM MPS発報 リセット復帰,0:01:04,0:00:00,,
,2025/11/17 04:32:31,start,,0:00:00,4:13:24,,
,2025/11/17 08:45:55,stop,BLM MPS発報 リセット復帰,0:01:17,0:00:00,,
,2025/11/17 08:47:12,start,,0:00:00,3:17:22,,
,2025/11/17 12:04:34,stop,3NBT:BLM MPS発報 リセット復帰,0:01:21,0:00:00,,
,2025/11/17 12:05:55,start,,0:00:00,0:18:07,,
,2025/11/17 12:24:02,stop,LI:BLM MPS発報 リセット復帰,0:01:14,0:00:00,,
,2025/11/17 12:25:16,start,,0:00:00,2:35:44,,
,2025/11/17 15:01:00,stop,HD:利用運転停止(B-ライン強度変更のため),0:05:55,0:00:00,,
,2025/11/17 15:06:55,start,,0:00:00,0:42:02,,
,2025/11/17 15:48:57,stop,HD:ロスモニタMPS発報(MR Inhibit),0:16:35,0:00:00,,
,2025/11/17 16:05:32,start,,0:00:00,2:24:53,,
,2025/11/17 18:30:25,stop,MR:入射パラメータ変更,0:10:56,0:00:00,,
,2025/11/17 18:41:21,start,HD:利用運転再開 (87kW),0:00:00,1:47:49,,
,2025/11/17 20:29:10,stop,LI:BLM MPS,0:01:05,0:00:00,,
,2025/11/17 20:30:15,start,,0:00:00,5:04:56,,
,2025/11/18 01:35:11,stop,HD Magnet MPS,3:19:22,0:00:00,,
,2025/11/18 04:54:33,start,,0:00:00,0:32:24,,
,2025/11/18 05:26:57,stop,BLM MPS,0:01:05,0:00:00,,
,2025/11/18 05:28:02,start,,0:00:00,0:01:59,,
,2025/11/18 05:30:01,end,Accelerator maintenance,0,0,7:45:48,76:30:46
,2025/11/19 02:56:30,start,switch K1.8 --> K1.8BR,0,0,,
,2025/11/19 03:03:33,stop,HD MPS,0:09:50,0:00:00,,
,2025/11/19 03:13:23,start,,0:00:00,0:01:28,,
,2025/11/19 03:14:51,stop,MR:共鳴6極2 MPS発報(MR Inhibit),0:37:33,0:00:00,,
,2025/11/19 03:52:24,start,,0:00:00,6:06:53,,
,2025/11/19 09:59:17,stop,MR:共鳴6極2 MPS発報(MR Inhibit),0:14:02,0:00:00,,
